"","Lower","Estimate","Upper"
"Group 1_CSF2RB_WT_2",2446462.37728585,344767.076798794,48586.2109910131
"Group 1_CSF2RB_WT_9",Inf,Inf,117998.528480195
"Group 13_CSF3R_WT_2",593.377469045646,380.939702847822,244.557747430453
"Group 13_CSF3R_WT_9",414.016421908454,265.193009671484,169.866045540992
"Group 14_CSF3R_T618I_2",1.46470040762562,1.0386657509174,1
"Group 14_CSF3R_T618I_9",1,1,1
"Group 15_CSF3R_W791X_2",668.549050266216,426.599370379404,272.211923322062
"Group 15_CSF3R_W791X_9",203.703549888311,118.826474471465,69.3150956036821
"Group 16_IL7R_WT_2",Inf,Inf,79252.7430090862
"Group 16_IL7R_WT_9",Inf,Inf,117998.528480195
"Group 17_IL7R_243InsPPCL_2",143.554861058993,84.2287296092745,49.4199836860755
"Group 17_IL7R_243InsPPCL_9",43.4066002158123,26.8711886328091,16.6348153264713
"Group 18_Vector_Empty_2",2483529.9890629,349990.820386654,49322.3657029981
"Group 18_Vector_Empty_9",19315.5465863518,12442.4729330582,8015.05315926583
"Group 19_P210_Fusion_2",1,1,1
"Group 19_P210_Fusion_9",1,1,1
"Group 2_CSF2RB_R461C_2",1568162.43632383,221005.467159962,31146.9114316336
"Group 2_CSF2RB_R461C_9",92485.7690366003,44121.4397807199,21048.6593624291
"Group 21_CSF2RB_WT_2",380609.555535548,122835.842315576,39643.3666415605
"Group 21_CSF2RB_WT_9",Inf,Inf,109192.668145852
"Group 22_CSF2RB_R461C_2",16028.9782719231,10690.3481630341,7129.80839502851
"Group 22_CSF2RB_R461C_9",84650.360906671,42226.7567709762,21064.2809823469
"Group 23_CSF3R_WT_2",680.396091956261,429.71494765633,271.393293439365
"Group 23_CSF3R_WT_9",1322.58050316953,805.735533319934,490.865960974431
"Group 24_CSF3R_T618I_2",1,1,1
"Group 24_CSF3R_T618I_9",2.0161764795449,1.38953135062361,1
"Group 25_CSF3R_W791X_2",495.923241589184,316.297541986729,201.733104393848
"Group 25_CSF3R_W791X_9",325.237986316177,204.648902335111,128.770853925567
"Group 26_IL7R_WT_2",1779245.36529879,250739.692217304,35335.4261752822
"Group 26_IL7R_WT_9",Inf,Inf,98625.6357446406
"Group 27_IL7R_243InsPPCL_2",19.5100338224819,9.69682314994896,4.81948827239012
"Group 27_IL7R_243InsPPCL_9",363.041682331459,233.046359333386,149.598815347489
"Group 28_Vector_Empty_2",Inf,Inf,75730.3988753491
"Group 28_Vector_Empty_9",Inf,Inf,135610.249148881
"Group 29_P210_Fusion_2",2.63606112320114,1.74949378567117,1.16109921699585
"Group 29_P210_Fusion_9",1.92701145629265,1.22803087947811,1
"Group 3_CSF3R_WT_2",9635.78141230412,6736.02324813975,4708.90810594149
"Group 3_CSF3R_WT_9",2449.84910531989,1582.15789731846,1021.78685479501
"Group 4_CSF3R_T618I_2",24.8890937449422,13.9617486045751,7.83196150470389
"Group 4_CSF3R_T618I_9",1.71215580043071,1.18747870599388,1
"Group 5_CSF3R_W791X_2",3472.90598978896,2455.34712612233,1735.93225024889
"Group 5_CSF3R_W791X_9",400.975463369089,256.710409661251,164.34979306399
"Group 6_IL7R_WT_2",Inf,Inf,132932.829205804
"Group 6_IL7R_WT_9",Inf,Inf,132087.905015144
"Group 7_IL7R_243InsPPCL_2",3696.96444074309,2613.75661813022,1847.92787929721
"Group 7_IL7R_243InsPPCL_9",7407.83217879004,5279.95204088012,3763.29982660967
"Group 8_Vector_Empty_2",Inf,Inf,100386.807811509
"Group 8_Vector_Empty_9",Inf,Inf,116237.356413326
"Group 9_P210_Fusion_2",2.25762692618096,1.54558520913392,1.05811709232868
"Group 9_P210_Fusion_9",1.2214603397463,1,1
