"","LineID","Lower","Estimate","Upper"
"1","Group 1_CSF2RB_WT_2",1.10954957576432,1,1
"2","Group 1_CSF2RB_WT_9",1.07695775986822,1,1
"3","Group 11_CSF2RB_WT_2",1.28758621148876,1,1
"4","Group 12_CSF2RB_R461C_2",1.49683328814871,1.14224524227158,1
"5","Group 13_CSF3R_WT_2",1.01435097353929,1,1
"6","Group 13_CSF3R_WT_9",1.45202179157839,1.11014091537586,1
"7","Group 14_CSF3R_T618I_2",2.36167237410826,1.7380297483911,1.27907132225868
"8","Group 14_CSF3R_T618I_9",1.98977213564021,1.48692717414006,1.11115860032121
"9","Group 15_CSF3R_W791X_2",1.249767663967,1,1
"10","Group 15_CSF3R_W791X_9",1,1,1
"11","Group 16_IL7R_WT_2",2.12784257607651,1.5809712810662,1.17464995750054
"12","Group 16_IL7R_WT_9",1.07695775986822,1,1
"13","Group 17_IL7R_243InsPPCL_2",1.32664392716194,1.01954544782327,1
"14","Group 17_IL7R_243InsPPCL_9",1.54331188856775,1.17539734707288,1
"15","Group 18_Vector_Empty_2",1.07695775986822,1,1
"16","Group 18_Vector_Empty_9",1.32664392716194,1.01954544782327,1
"17","Group 19_P210_Fusion_2",1,1,1
"18","Group 19_P210_Fusion_9",1.28758621148876,1,1
"19","Group 2_CSF2RB_R461C_2",2.12784257607651,1.5809712810662,1.17464995750054
"20","Group 2_CSF2RB_R461C_9",1.21311849155688,1,1
"21","Group 21_CSF2RB_WT_2",1,1,1
"22","Group 21_CSF2RB_WT_9",1.249767663967,1,1
"23","Group 22_CSF2RB_R461C_2",1.1430695727437,1,1
"24","Group 22_CSF2RB_R461C_9",1.01435097353929,1,1
"25","Group 23_CSF3R_WT_2",1.64170012265143,1.24510041194577,1
"26","Group 23_CSF3R_WT_9",1.1430695727437,1,1
"27","Group 24_CSF3R_T618I_2",1.249767663967,1,1
"28","Group 24_CSF3R_T618I_9",2.05719636167798,1.53297775618793,1.14234151136169
"29","Group 25_CSF3R_W791X_2",1,1,1
"30","Group 25_CSF3R_W791X_9",1.40877948134619,1.07902564601285,1
"31","Group 26_IL7R_WT_2",1.92534800210643,1.44269504088896,1.08103520959768
"32","Group 26_IL7R_WT_9",1.49683328814871,1.14224524227158,1
"33","Group 27_IL7R_243InsPPCL_2",1.59156296568923,1.20965999656659,1
"34","Group 27_IL7R_243InsPPCL_9",2.12784257607651,1.5809712810662,1.17464995750054
"35","Group 28_Vector_Empty_2",2.27979914116166,1.68334219698606,1.24293447654779
"36","Group 28_Vector_Empty_9",1,1,1
"37","Group 29_P210_Fusion_2",2.05719636167798,1.53297775618793,1.14234151136169
"38","Group 29_P210_Fusion_9",4.65740706884426,3.16603027402821,2.15221636157102
"39","Group 3_CSF3R_WT_2",1.04524158005911,1,1
"40","Group 3_CSF3R_WT_9",1,1,1
"41","Group 4_CSF3R_T618I_2",1.74813354611604,1.31980846115956,1
"42","Group 4_CSF3R_T618I_9",2.44790005736541,1.79528376938817,1.31665661877447
"43","Group 5_CSF3R_W791X_2",1.249767663967,1,1
"44","Group 5_CSF3R_W791X_9",1.49683328814871,1.14224524227158,1
"45","Group 6_IL7R_WT_2",1,1,1
"46","Group 6_IL7R_WT_9",1,1,1
"47","Group 7_IL7R_243InsPPCL_2",1.10954957576432,1,1
"48","Group 7_IL7R_243InsPPCL_9",1.1430695727437,1,1
"49","Group 8_Vector_Empty_2",1.45202179157839,1.11014091537586,1
"50","Group 8_Vector_Empty_9",1.10954957576432,1,1
"51","Group 9_P210_Fusion_2",1.863721293017,1.40016686396066,1.05191009743727
"52","Group 9_P210_Fusion_9",1.45202179157839,1.11014091537586,1
