"","Lower","Estimate","Upper"
"Group 31_2",Inf,Inf,111.256389275202
"Group 31_9",161303.149564811,22755.8785982234,3210.29076105562
"Group 32_2",Inf,Inf,527.008478214517
"Group 32_9",8647.1194710929,3894.62647171206,1754.12348642424
"Group 33_2",4783.85700084935,1197.30407280621,299.661349096311
"Group 33_9",502.317170040117,313.540769872479,195.708648311535
"Group 34_2",1.14880259869155,1,1
"Group 34_9",1.32664392716194,1.01954544782327,1
"Group 35_2",1177.94973167701,380.166671052929,122.693434102411
"Group 35_9",97.9161096183585,60.8504873545643,37.8158591647492
"Group 36_2",Inf,Inf,794.384063272951
"Group 36_9",Inf,Inf,8196.82286357654
"Group 37_2",14.4451789004294,8.87742832320132,5.45571184523262
"Group 37_9",53.6072894075311,31.472788931845,18.4776446281074
"Group 38_2",Inf,Inf,543.507735563915
"Group 38_9",Inf,Inf,7743.15511092379
"Group 39_2",1.43028286145979,1.08931363347678,1
"Group 39_9",1.1430695727437,1,1
