"","Lower","Estimate","Upper"
"Group 1_CSF2RB_WT_2",3558490.73059759,501479.384434609,70670.8523505644
"Group 1_CSF2RB_WT_9",Inf,Inf,169072.518419384
"Group 13_CSF3R_WT_2",825.568652585246,530.003064831751,340.254257294543
"Group 13_CSF3R_WT_9",628.110185101801,402.328075839686,257.706186666324
"Group 14_CSF3R_T618I_2",1.92625393731066,1.3659680722679,1
"Group 14_CSF3R_T618I_9",1.29485023583615,1,1
"Group 15_CSF3R_W791X_2",1035.17272299285,660.540960587465,421.489429659967
"Group 15_CSF3R_W791X_9",264.264064719971,154.153264179198,89.9222861885606
"Group 16_IL7R_WT_2",Inf,Inf,106942.181963838
"Group 16_IL7R_WT_9",Inf,Inf,169072.518419384
"Group 17_IL7R_243InsPPCL_2",225.284491421911,132.182403111666,77.5561050922642
"Group 17_IL7R_243InsPPCL_9",64.4584130107961,39.9034747336339,24.7025519469595
"Group 18_Vector_Empty_2",3558490.73059759,501479.384434609,70670.8523505644
"Group 18_Vector_Empty_9",30312.4050076874,19526.3062920801,12578.2377648831
"Group 19_P210_Fusion_2",1.28758621148876,1,1
"Group 19_P210_Fusion_9",1.54331188856775,1.17539734707288,1
"Group 2_CSF2RB_R461C_2",2116049.31573121,298220.679646558,42029.064780148
"Group 2_CSF2RB_R461C_9",140930.69567482,67232.6701420495,32074.147599892
"Group 21_CSF2RB_WT_2",507479.40738073,163781.123087435,52857.8221887473
"Group 21_CSF2RB_WT_9",Inf,Inf,169072.518419384
"Group 22_CSF2RB_R461C_2",23673.5679093017,15788.8219023273,10530.1785526575
"Group 22_CSF2RB_R461C_9",117774.415174499,58750.2702900539,29306.8257145695
"Group 23_CSF3R_WT_2",989.812187808012,625.131592467848,394.811776127762
"Group 23_CSF3R_WT_9",1953.34966621962,1190.00940305713,724.97126543916
"Group 24_CSF3R_T618I_2",1.54331188856775,1.17539734707288,1
"Group 24_CSF3R_T618I_9",2.74477084613838,1.89167227158998,1.30372412988023
"Group 25_CSF3R_W791X_2",634.781749234156,404.860853743013,258.218373624126
"Group 25_CSF3R_W791X_9",498.899117789591,313.921377967027,197.528173594163
"Group 26_IL7R_WT_2",2466557.81696242,347599.021429786,48985.302054562
"Group 26_IL7R_WT_9",Inf,Inf,148017.704221862
"Group 27_IL7R_243InsPPCL_2",28.6729367522668,14.2509438684834,7.08296477955332
"Group 27_IL7R_243InsPPCL_9",489.881714856199,314.468436291015,201.865867666329
"Group 28_Vector_Empty_2",Inf,Inf,100438.590990055
"Group 28_Vector_Empty_9",Inf,Inf,169072.518419384
"Group 29_P210_Fusion_2",3.58866586978263,2.38171588009717,1.58069063527795
"Group 29_P210_Fusion_9",2.24733139212269,1.43216187788355,1
"Group 3_CSF3R_WT_2",13603.4561114881,9509.67987972669,6647.87026721152
"Group 3_CSF3R_WT_9",3359.79305872442,2169.8165448939,1401.30768657602
"Group 4_CSF3R_T618I_2",35.4976196870622,19.9126913663657,11.1701934086767
"Group 4_CSF3R_T618I_9",2.23304540219199,1.5487456596844,1.07414435731434
"Group 5_CSF3R_W791X_2",5377.40282289903,3801.82780818942,2687.89509715957
"Group 5_CSF3R_W791X_9",601.785398786797,385.271894077265,246.656752831038
"Group 6_IL7R_WT_2",Inf,Inf,165734.436412431
"Group 6_IL7R_WT_9",Inf,Inf,169072.518419384
"Group 7_IL7R_243InsPPCL_2",5377.40282289903,3801.82780818942,2687.89509715957
"Group 7_IL7R_243InsPPCL_9",10940.7982948284,7798.08301422294,5558.10435930044
"Group 8_Vector_Empty_2",Inf,Inf,152298.249778624
"Group 8_Vector_Empty_9",Inf,Inf,169072.518419384
"Group 9_P210_Fusion_2",3.15898478131882,2.16266031258973,1.48057048432443
"Group 9_P210_Fusion_9",1.8530948037182,1.38088573707682,1.0290058636159
